7702,7697,-5,140.25,153.13,3.45
7693,7706,13,138.14,150.90,3.38
7700,14613,33,136.07,187.81,3.36
6719,6731,12,136.90,187.49,3.30
6747,6729,-18,137.40,187.02,3.27
6739,6736,-3,137.74,186.40,3.21
6719,6731,12,137.98,185.67,3.15
6742,6723,-19,138.00,184.88,3.13
6735,6737,2,137.92,183.96,3.07
6727,6726,-1,137.75,183.00,3.02
6736,6713,-23,137.46,182.01,3.00
6738,6746,8,137.09,180.89,2.96
42641,6716,-51,564.21,179.79,3.04
6739,9778,33,556.08,178.44,3.02
9220,8822,-51,547.46,175.82,3.09
8825,6879,-51,539.04,174.51,3.15
6731,6739,8,531.65,173.45,3.10
6728,6724,-4,524.46,172.39,3.06
6730,6747,17,517.45,171.27,3.02
6749,9228,33,510.62,169.38,3.01
10044,9232,-51,503.77,167.53,3.06
9241,9231,-10,496.76,165.71,3.02
9230,10046,33,489.94,165.19,3.01
9242,6737,-51,483.31,164.29,3.06
9236,9237,1,476.86,162.57,3.01
9247,9221,-26,470.58,160.86,2.99
6746,6722,-24,465.02,160.08,2.97
6724,6744,20,459.60,159.24,2.95
6738,6712,-26,454.29,158.42,2.93
6750,6732,-18,449.10,157.56,2.90
6734,6736,2,444.03,156.68,2.86
6741,6735,-6,439.07,155.79,2.83
6729,6751,22,434.22,154.86,2.81
6739,6714,-25,429.47,153.98,2.79
9233,6813,-51,424.46,152.97,2.82
6763,6735,-28,419.92,152.05,2.81
6723,9246,33,415.50,150.83,2.80
6727,6726,-1,411.16,149.96,2.77
6730,6750,20,406.91,149.05,2.75
6725,6728,3,402.75,148.17,2.72
6750,6735,-15,398.66,147.28,2.69
6716,6733,17,394.67,146.39,2.67
5990,5965,-25,391.17,146.54,2.65
5970,5982,12,387.75,146.60,2.63
5977,5982,5,384.37,146.61,2.60
5979,5981,2,381.05,146.58,2.57
5988,5992,4,377.78,146.48,2.55
5988,6000,12,374.56,146.33,2.52
5977,5996,19,371.39,146.15,2.50
5994,5975,-19,368.27,145.97,2.49
5971,5986,15,365.20,145.73,2.47
5980,5977,-3,362.18,145.48,2.44
5985,5986,1,359.21,145.19,2.42
5989,5993,4,356.28,144.87,2.39
6001,5983,-18,353.38,144.54,2.38
5972,5995,23,350.55,144.17,2.37
5982,5970,-12,347.75,143.81,2.35
5981,5982,1,345.00,143.43,2.32
5988,5996,8,342.28,143.01,2.30
5985,5999,14,339.61,142.57,2.29
5997,5975,-22,336.97,142.14,2.27
5983,5969,-14,334.37,141.71,2.26
5982,5977,-5,331.82,141.25,2.24
5988,5988,0,329.30,140.78,2.22
5998,5989,-9,326.81,140.30,2.20
5980,5998,18,324.36,139.80,2.19
5971,5989,18,321.96,139.30,2.17
5980,5974,-6,319.58,138.80,2.15
5984,5983,-1,317.23,138.29,2.14
5991,5995,4,314.92,137.77,2.12
6002,5983,-19,312.63,137.25,2.11
5982,5998,16,310.39,136.72,2.09
5987,5971,-16,308.17,136.20,2.08
5976,5978,2,305.99,135.67,2.06
8750,9782,33,303.63,135.79,2.06
8169,8166,-3,301.23,134.80,2.05
5561,5581,20,299.32,134.62,2.04
5569,5569,0,297.43,134.43,2.02
5589,5567,-22,295.55,134.23,2.01
5564,5570,6,293.70,134.01,2.00
5585,5576,-9,291.87,133.77,1.98
5571,5561,-10,290.06,133.54,1.97
5579,5573,-6,288.27,133.28,1.96
5561,5576,15,286.51,133.00,1.94
5575,5571,-4,284.76,132.72,1.93
5567,5582,15,283.04,132.42,1.92
7898,5569,-51,280.97,132.13,1.94
5588,5574,-14,279.28,131.82,1.93
5564,5577,13,277.62,131.49,1.92
5573,5576,3,275.98,131.17,1.90
5586,5567,-19,274.35,130.84,1.90
5566,5566,0,272.75,130.51,1.88
5576,5586,10,271.16,130.15,1.87
5580,5575,-5,269.58,129.80,1.86
5573,5578,5,268.03,129.44,1.84
5580,5567,-13,266.49,129.09,1.83
5569,5571,2,264.96,128.72,1.82
5571,5587,16,263.46,128.35,1.81
5565,5564,-1,261.97,127.98,1.80
5573,5584,11,260.50,127.60,1.79
5559,5569,10,259.05,127.22,1.78
5583,5579,-4,257.60,126.84,1.77
5574,5558,-16,256.17,126.46,1.76
5574,5574,0,254.76,126.07,1.75
5583,5563,-20,253.36,125.69,1.74
5570,5571,1,251.97,125.30,1.73
5566,5586,20,250.61,124.90,1.72
5565,5567,2,249.25,124.51,1.71
5589,5575,-14,247.91,124.11,1.70
5568,7644,33,246.58,123.37,1.71
4911,4891,-20,245.48,123.39,1.70
4908,4901,-7,244.39,123.39,1.69
4904,4901,-3,243.30,123.37,1.68
4898,4898,0,242.23,123.34,1.67
4896,4894,-2,241.16,123.31,1.66
4888,4894,6,240.10,123.26,1.65
4884,4896,12,239.05,123.19,1.64
4887,4903,16,238.01,123.11,1.63
4894,4906,12,236.97,123.02,1.63
4897,4911,14,235.94,122.92,1.62
4905,4902,-3,234.91,122.81,1.61
4900,4901,1,233.90,122.70,1.60
4896,4897,1,232.89,122.58,1.59
4889,4889,0,231.89,122.45,1.58
4892,4888,-4,230.89,122.32,1.57
4884,4897,13,229.91,122.17,1.56
4904,4891,-13,228.92,122.03,1.56
4896,4908,12,227.95,121.86,1.55
4909,4900,-9,226.98,121.69,1.54
4903,4901,-2,226.02,121.52,1.53
4897,4896,-1,225.06,121.34,1.53
4893,4893,0,224.12,121.16,1.52
4885,4894,9,223.18,120.98,1.51
4885,4893,8,222.25,120.79,1.50
4899,4887,-12,221.32,120.59,1.49
4905,4891,-14,220.40,120.39,1.49
4909,4897,-12,219.48,120.19,1.48
4903,4904,1,218.58,119.97,1.47
4900,4902,2,217.68,119.76,1.47
4899,4895,-4,216.78,119.54,1.46
4891,4890,-1,215.90,119.32,1.45
4885,4896,11,215.02,119.10,1.44
4885,4902,17,214.15,118.87,1.44
4909,4889,-20,213.27,118.64,1.44
4904,4891,-13,212.41,118.41,1.43
4910,4895,-15,211.55,118.18,1.42
4909,4899,-10,210.70,117.94,1.42
5075,4894,-51,209.81,117.70,1.43
4889,4894,5,208.98,117.45,1.43
4480,4485,5,208.25,117.39,1.42
4474,4487,13,207.53,117.31,1.42
4483,5373,33,206.81,116.90,1.42
4485,4621,33,206.10,116.76,1.42
5032,5232,33,205.26,116.39,1.42
4485,4485,0,204.55,116.30,1.42
4581,4604,23,203.82,116.15,1.41
4481,4600,33,203.12,116.01,1.41
4494,4483,-11,202.42,115.90,1.41
4500,4915,33,201.73,115.63,1.41
25745,13930,-51,220.30,120.25,1.43
4495,4497,2,219.52,120.11,1.42
6164,6184,20,218.50,119.56,1.42
4901,5777,33,217.65,119.06,1.42
6162,4492,-51,216.64,118.91,1.43
5322,6786,33,215.74,118.36,1.43
4489,4500,11,214.99,118.22,1.43
4500,4487,-13,214.24,118.07,1.42
4484,4497,13,213.51,117.92,1.42
4485,4499,14,212.77,117.76,1.41
4494,4480,-14,212.04,117.61,1.41
4486,4475,-11,211.32,117.45,1.40
4478,4483,5,210.60,117.29,1.39
4478,4490,12,209.88,117.13,1.39
4476,4489,13,209.17,116.96,1.38
4489,4478,-11,208.46,116.79,1.38
4485,4500,15,207.76,116.61,1.37
4483,4493,10,207.06,116.43,1.37
4483,4494,11,206.36,116.25,1.36
4491,4477,-14,205.67,116.08,1.36
4478,4481,3,204.98,115.90,1.35
4488,4487,-1,204.29,115.71,1.35
4491,4490,-1,203.61,115.52,1.34
4493,4498,5,202.93,115.33,1.34
4499,4488,-11,202.26,115.14,1.33
4482,4499,17,201.59,114.94,1.33
